Cliente{código='12379', nome='Mary', sobrenome='Long', idade='18', endereço='4542 Shady Branch Boulevard', cidade='Caguas', estado='PR', código_postal='00725'}
Cliente{código='12380', nome='Jacqueline', sobrenome='Shaw', idade='68', endereço='7046 Clear Creek Wharf', cidade='Henrico', estado='VA', código_postal='23233'}
Cliente{código='12416', nome='Aaron', sobrenome='Cline', idade='69', endereço='9986 Wishing Stead', cidade='Bronx', estado='NY', código_postal='10467'}
Cliente{código='12383', nome='Joyce', sobrenome='Phillips', idade='74', endereço='9899 Hazy Falls', cidade='North Tonawanda', estado='NY', código_postal='14120'}
Cliente{código='12417', nome='Mary', sobrenome='Smith', idade='80', endereço='9765 Umber Green', cidade='Massapequa', estado='NY', código_postal='11758'}
Cliente{código='12418', nome='Linda', sobrenome='Livingston', idade='81', endereço='3927 Indian Village', cidade='Caguas', estado='PR', código_postal='00725'}
Cliente{código='12419', nome='Jane', sobrenome='Smith', idade='84', endereço='2704 Misty Dale Row', cidade='Greensburg', estado='PA', código_postal='15601'}
Cliente{código='12420', nome='Nathan', sobrenome='Adams', idade='87', endereço='2877 Thunder Spring Isle', cidade='Caguas', estado='PR', código_postal='00725'}
Cliente{código='12421', nome='Kyle', sobrenome='Small', idade='90', endereço='2584 Round Square', cidade='Middletown', estado='CT', código_postal='06457'}
Cliente{código='12422', nome='Mary', sobrenome='Blevins', idade='91', endereço='6473 Bright Expressway', cidade='Caguas', estado='PR', código_postal='00725'}
Cliente{código='12423', nome='Stephen', sobrenome='Smith', idade='94', endereço='3445 Harvest Campus', cidade='Palmdale', estado='CA', código_postal='93550'}
Cliente{código='12424', nome='Judy', sobrenome='Phillips', idade='97', endereço='4534 Cinder Concession', cidade='San Diego', estado='CA', código_postal='92111'}
